Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706285220.385847685;1806.746948;2384.319092;192.110992;4383.177246
1;1706285220.409909551;1530.629028;2386.141113;191.244003;4108.014160
2;1706285220.433969247;1556.749023;2383.876953;190.410004;4131.036133
3;1706285220.458030472;1529.637939;2383.030029;189.149994;4101.817871
4;1706285220.482090168;1528.095947;2382.747070;189.214005;4100.057129
5;1706285220.506150674;1548.317017;2384.443115;189.511993;4122.271973
6;1706285220.530208970;1544.452026;2391.512939;189.511993;4125.477051
7;1706285220.554268365;1530.954956;2384.363037;190.410004;4105.728027
8;1706285220.578327181;1538.805054;2388.585938;194.854004;4122.245117
9;1706285220.602387827;1548.176025;2384.381104;190.354996;4122.912109
10;1706285220.626446273;1551.817017;2386.138916;189.167007;4127.123047
11;1706285220.650506898;1528.441040;2380.592041;189.214005;4098.247070
12;1706285220.674565604;1530.133057;2383.030029;189.511993;4102.674805
13;1706285220.698624940;1558.578003;2386.138916;189.464996;4134.182129
14;1706285220.722685606;1538.595947;2382.165039;188.315994;4109.077148
15;1706285220.746745922;1539.151001;2385.291016;189.511993;4113.954102
16;1706285220.770807197;1527.470947;2386.076904;189.167007;4102.714844
17;1706285220.794865803;1562.186035;2385.979980;193.705002;4141.871094
18;1706285220.818927249;1539.409058;2385.229004;189.511993;4114.149902
19;1706285220.842986465;1530.634033;2386.324951;192.813995;4109.772949
20;1706285220.867045600;1531.673950;2384.443115;190.410004;4106.526855
21;1706285220.891104426;1554.855957;2384.425049;189.511993;4128.792969
22;1706285220.915165122;1535.699951;2383.876953;189.513000;4109.089844
23;1706285220.939224178;1528.942017;2388.568115;192.807999;4110.318359
24;1706285220.963284543;1531.829956;2383.011963;190.410004;4105.251953
25;1706285220.987343269;1549.616943;2386.925049;190.348999;4126.890625
26;1706285221.011402236;1554.256958;2384.443115;189.464996;4128.165039
27;1706285221.035461593;1546.641968;2382.000000;190.363007;4119.004883
28;1706285221.059522191;1534.890015;2386.138916;191.274994;4112.303711
29;1706285221.083583199;1549.746948;2388.570068;193.675003;4131.992188
30;1706285221.107642046;1554.255981;2382.906006;191.199005;4128.360840
31;1706285221.131701014;1542.906982;2388.503906;192.445007;4123.855957
32;1706285221.155759812;1535.317993;2386.987061;190.427002;4112.731934
33;1706285221.179819189;1540.936035;2385.291016;190.410004;4116.636719
34;1706285221.203878467;1546.947998;2384.319092;189.449997;4120.716797
35;1706285221.227938045;1546.141968;2389.732910;188.315994;4124.190918
36;1706285221.251996992;1529.514038;2385.291016;189.496002;4104.301270
37;1706285221.276055920;1545.380981;2386.076904;188.207001;4119.665039
38;1706285221.300114758;1544.921997;2386.987061;190.348999;4122.257812
39;1706285221.324173285;1547.832031;2386.059082;189.511993;4123.403320
40;1706285221.348232233;1552.404053;2385.291016;190.363007;4128.058105
41;1706285221.372290830;1539.973999;2382.121094;189.214005;4111.309082
42;1706285221.396363659;1701.522949;2387.674072;194.238007;4283.435059
43;1706285221.420433148;1761.245972;2382.183105;190.363007;4333.791992
44;1706285221.444495606;1763.137939;2385.416016;192.524994;4341.079102
45;1706285221.468564674;1754.102051;2385.291016;190.410004;4329.802734
46;1706285221.492628872;1764.463989;2384.662109;189.496002;4338.622070
47;1706285221.516699351;1739.417969;2384.425049;189.511993;4313.354980
48;1706285221.540765989;1625.602051;2381.881104;190.345993;4197.829102
49;1706285221.564826987;1580.581055;2383.916992;189.214005;4153.711914
50;1706285221.588889225;1539.661011;2384.381104;190.334000;4114.375977
51;1706285221.612951403;1575.546997;2382.284912;192.237000;4150.068848
52;1706285221.637014100;1561.618042;2385.291016;189.511993;4136.420898
53;1706285221.661076738;1574.182007;2384.425049;189.449005;4148.056152
54;1706285221.685139556;1541.499023;2387.688965;189.511993;4118.700195
55;1706285221.709200164;1562.650024;2384.363037;189.529007;4136.541992
56;1706285221.733262262;1563.661011;2385.291016;190.363007;4139.314941
57;1706285221.757322490;1563.310059;2391.959961;192.759995;4148.030273
58;1706285221.781384788;1540.599976;2387.920898;194.556000;4123.076660
59;1706285221.805444885;1561.968994;2389.434082;192.509003;4143.912109
60;1706285221.829507703;1557.900024;2385.050049;191.546997;4134.497070
61;1706285221.853568141;1560.781982;2387.770020;192.541000;4141.092773
62;1706285221.877630849;1541.823975;2386.306885;193.690994;4121.821777
63;1706285221.901698947;1567.005005;2383.858887;189.449005;4140.312988
64;1706285221.925761035;1553.114990;2385.229004;190.347000;4128.690918
65;1706285221.949823723;1575.369995;2382.906982;193.753998;4152.030762
66;1706285221.973887801;1537.245972;2386.121094;189.511993;4112.878906
67;1706285221.997951589;1563.998047;2385.291016;189.511993;4138.800781
68;1706285222.022016599;1550.927979;2382.949951;190.363007;4124.241211
69;1706285222.046080659;1577.182983;2383.814941;190.410004;4151.407715
70;1706285222.070143849;1538.421021;2382.968018;189.403000;4110.791992
71;1706285222.094205519;1560.147949;2385.291016;191.322006;4136.760742
72;1706285222.118268909;1550.082031;2386.724121;191.244003;4128.049805
73;1706285222.142330898;1577.543945;2381.321045;190.427002;4149.291992
74;1706285222.166395878;1540.708008;2382.183105;189.214005;4112.105469
75;1706285222.190458828;1558.239990;2379.642090;189.529007;4127.411133
76;1706285222.214522788;1731.567993;2385.272949;189.197006;4306.038086
77;1706285222.238584578;1744.193970;2385.291016;189.511993;4318.997070
78;1706285222.262666310;1843.265991;2385.291016;190.410004;4418.966797
79;1706285222.286758162;1869.979980;2385.210938;190.410004;4445.600586
80;1706285222.310834553;1743.241943;2385.291016;190.410004;4318.942871
81;1706285222.334928775;1876.677979;2385.489990;190.410004;4452.578125
82;1706285222.359018667;2038.306030;2386.023926;192.824005;4617.153809
83;1706285222.383088278;1757.463989;2382.747070;189.229996;4329.440918
84;1706285222.407191951;1865.228027;2385.291016;190.410004;4440.928711
85;1706285222.431260102;1981.916992;2387.920898;192.509003;4562.346680
86;1706285222.455328492;1765.275024;2654.958984;191.212997;4611.446777
87;1706285222.479394722;1957.651978;4819.059082;189.464996;6966.175781
88;1706285222.503454842;1983.046021;5260.307129;189.255005;7432.607910
89;1706285222.527514811;1865.207031;5674.490234;190.410004;7730.107422
90;1706285222.551574011;1912.691040;5107.565918;190.410004;7210.666992
91;1706285222.575633760;1959.686035;5524.597168;190.380005;7674.663086
92;1706285222.599694610;1974.562012;4993.085938;191.278000;7158.925781
93;1706285222.623753830;1867.255981;5717.262207;190.380005;7774.897949
94;1706285222.647813149;1932.541016;5256.813965;190.065002;7379.419922
95;1706285222.671873079;1953.796997;4708.726074;191.229996;6853.752930
96;1706285222.695933489;1985.098022;4710.604004;189.511993;6885.214355
97;1706285222.719993038;1875.411987;5172.540039;192.856003;7240.808105
98;1706285222.744052968;1942.191040;5656.889160;189.229996;7788.310059
99;1706285222.768113257;1930.458984;4856.375000;193.705002;6980.539062
100;1706285222.792173477;1970.520020;5375.353027;192.237000;7538.109863
101;1706285222.816232407;1872.017944;5126.791992;193.360001;7192.169922
102;1706285222.840292576;1935.380005;5792.362793;189.229996;7916.972656
103;1706285222.864352056;1939.250000;5276.132812;191.212997;7406.595703
104;1706285222.888412326;1957.009033;4759.021973;191.212997;6907.244141
105;1706285222.912471895;1858.791992;5412.666992;190.363007;7461.821777
106;1706285222.936531525;1928.459961;5175.228027;193.738998;7297.426758
107;1706285222.960592334;1921.662964;5338.039062;191.307999;7451.010254
108;1706285222.984652584;1947.621948;4763.013184;191.311996;6901.947266
109;1706285223.008712104;1866.302979;5192.553223;190.427002;7249.283203
110;1706285223.032771886;1933.875977;5315.993164;190.410004;7440.279297
111;1706285223.056831857;1927.244995;5862.913086;189.511993;7979.670410
112;1706285223.080892259;1952.118042;5540.793945;190.410995;7683.323242
113;1706285223.104951890;1872.027954;5081.763184;190.410004;7144.201172
114;1706285223.129012002;1929.792969;5763.729004;190.410004;7883.932129
115;1706285223.153072644;1928.720947;5239.672852;190.410004;7358.803711
116;1706285223.177132085;1950.885986;5139.562988;193.070999;7283.519531
117;1706285223.201191447;1889.774048;4472.232910;190.410004;6552.416992
118;1706285223.225251088;1923.569946;5265.112793;190.363007;7379.045410
119;1706285223.249310860;1953.203979;5110.776855;191.278000;7255.258789
120;1706285223.273370551;1928.553955;5813.006836;195.514999;7937.076172
121;1706285223.297429963;1885.470947;5460.090820;192.477997;7538.040039
122;1706285223.321490234;1923.390991;4899.939941;190.440994;7013.771973
123;1706285223.345549396;1939.577026;5685.276855;192.460999;7817.314941
124;1706285223.369608617;1897.329956;5253.342773;190.115005;7340.788086
125;1706285223.393693301;1887.405029;5143.708008;192.524994;7223.637695
126;1706285223.417754972;1904.686035;4387.896973;190.363007;6482.945801
127;1706285223.441815044;1920.328979;5247.208008;193.360001;7360.896973
128;1706285223.465874896;1880.983032;5128.770020;190.363007;7200.115723
129;1706285223.489936317;1886.707031;5868.039062;190.410004;7945.156250
130;1706285223.513997939;1894.260986;5460.259766;190.427002;7544.947266
131;1706285223.538058031;1926.706055;5437.352051;187.067993;7551.125977
