Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706285196.309402166;1825.906006;2390.378906;190.363007;4406.647949
1;1706285196.333464304;1532.326050;2387.264893;190.363007;4109.954102
2;1706285196.357522761;1560.336060;2387.250000;190.410004;4137.996094
3;1706285196.381581488;1542.005981;2386.906982;189.151993;4118.064941
4;1706285196.405640245;1542.885986;2392.808105;193.705002;4129.399414
5;1706285196.429688801;1538.302002;2388.112061;189.173996;4115.587891
6;1706285196.453748968;1559.792969;2388.897949;191.278000;4139.968750
7;1706285196.477809316;1554.599976;2390.378906;190.410004;4135.388672
8;1706285196.501869383;1546.112061;2391.229004;189.229996;4126.571289
9;1706285196.525931450;1549.172974;2388.112061;190.410004;4127.694824
10;1706285196.549992267;1540.802002;2396.549072;190.410004;4127.760742
11;1706285196.574052555;1538.958984;2393.612061;192.798004;4125.369141
12;1706285196.598111552;1529.432983;2391.229004;190.427002;4111.088867
13;1706285196.622170539;1560.244019;2388.958984;190.410004;4139.612793
14;1706285196.646230946;1541.137939;2394.521973;193.705002;4129.365234
15;1706285196.670291273;1533.683960;2387.202881;190.410004;4111.296875
16;1706285196.694350230;1529.442993;2388.621094;190.348007;4108.412109
17;1706285196.718408877;1551.438965;2390.361084;188.268997;4130.069336
18;1706285196.742468034;1536.198975;2388.052979;190.348007;4114.599609
19;1706285196.766528692;1531.469971;2387.202881;190.410004;4109.083008
20;1706285196.790589039;1541.696045;2387.021973;186.186996;4114.905273
21;1706285196.814648096;1558.422974;2391.165039;190.410004;4139.998047
22;1706285196.838707283;1546.355957;2389.512939;190.395996;4126.264648
23;1706285196.862766420;1539.430054;2391.210938;189.511993;4120.152832
24;1706285196.886827587;1546.456055;2390.299072;190.287003;4127.041992
25;1706285196.910887024;1548.045044;2392.127930;192.397995;4132.570801
26;1706285196.934946152;1551.374023;2388.878906;190.410004;4130.663086
27;1706285196.959007079;1529.787964;2388.031982;191.212997;4109.032715
28;1706285196.983067856;1545.609985;2391.165039;189.511993;4126.287109
29;1706285197.007127114;1555.875000;2389.045898;185.919006;4130.839844
30;1706285197.031188113;1556.113037;2387.001953;191.212997;4134.328125
31;1706285197.055248652;1529.787964;2388.834961;190.348007;4108.970703
32;1706285197.079309312;1534.369995;2390.378906;190.427002;4115.175781
33;1706285197.103369761;1547.921997;2390.316895;189.167007;4127.405762
34;1706285197.127430220;1536.936035;2394.395996;192.742996;4124.075195
35;1706285197.151489529;1545.141968;2392.681885;194.492004;4132.315918
36;1706285197.175550699;1533.010010;2394.377930;194.477997;4121.866211
37;1706285197.199611978;1546.973999;2388.879883;191.261002;4127.114746
38;1706285197.223671027;1539.963013;2394.341064;192.759995;4127.063965
39;1706285197.247729747;1544.261963;2393.982910;189.511993;4127.756836
40;1706285197.271788366;1546.116943;2389.531006;189.494995;4125.142578
41;1706285197.295847675;1549.723022;2388.166992;190.427002;4128.316895
42;1706285197.319913595;1693.655029;2390.572998;188.253998;4272.481934
43;1706285197.343979945;1769.939941;2389.468994;189.214005;4348.623047
44;1706285197.368043584;1768.972046;2384.799072;186.186996;4339.958008
45;1706285197.392112574;1758.212036;2388.112061;190.410004;4336.733887
46;1706285197.416177224;1757.290039;2384.091064;189.087997;4330.468750
47;1706285197.440248454;1738.916016;2387.141113;190.300995;4316.358398
48;1706285197.464310784;1629.287964;2394.458008;191.546997;4215.292969
49;1706285197.488373233;1577.353027;2387.988037;190.365005;4155.706055
50;1706285197.512435092;1565.910034;2392.386963;190.427002;4148.724121
51;1706285197.536497722;1554.699951;2393.612061;195.468002;4143.780273
52;1706285197.560559771;1546.083984;2388.112061;190.393005;4124.588867
53;1706285197.584622101;1748.119995;2390.563965;190.363007;4329.046875
54;1706285197.608702102;1771.141968;2391.959961;192.509003;4355.610840
55;1706285197.632771932;1888.510010;2389.142090;190.427002;4468.079102
56;1706285197.656835481;1712.193970;4696.205078;189.529007;6597.927734
57;1706285197.680895571;1732.047974;4431.937988;190.427002;6354.413086
