Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706285172.232691047;1826.222046;2566.425049;193.641006;4586.288086
1;1706285172.256764416;1538.119019;2564.857910;193.675003;4296.651855
2;1706285172.280823994;1542.593994;2563.358887;190.363007;4296.315918
3;1706285172.304883162;1532.316040;2560.841064;190.065002;4283.222168
4;1706285172.328943020;1537.937012;2560.043945;190.410004;4288.390625
5;1706285172.353002337;1534.363037;2565.072998;190.080994;4289.517090
6;1706285172.377061085;1552.317993;2563.309082;190.393005;4306.020020
7;1706285172.401120193;1531.129028;2568.367920;193.705002;4293.202148
8;1706285172.425179761;1539.885986;2563.376953;191.261002;4294.523926
9;1706285172.449238929;1541.344971;2562.584961;189.214005;4293.144043
10;1706285172.473298706;1557.109985;2568.155029;190.365005;4315.629883
11;1706285172.497357724;1534.519043;2562.460938;190.363007;4287.342773
12;1706285172.521417102;1542.689941;2565.738037;192.509003;4300.937012
13;1706285172.545476950;1534.641968;2564.987061;190.410004;4290.039062
14;1706285172.569535867;1564.751953;2558.248047;190.063995;4313.063965
15;1706285172.593595345;1544.021973;2562.529053;191.261002;4297.812012
16;1706285172.617654233;1543.678955;2566.745117;192.462006;4302.885742
17;1706285172.641684958;1559.086060;2563.206055;193.641006;4315.933105
18;1706285172.665744156;1557.615967;2563.358887;191.307999;4312.283203
19;1706285172.689804583;1534.864014;2567.518066;193.658005;4296.040039
20;1706285172.713865341;1531.828979;2566.553955;193.705002;4292.087891
21;1706285172.737925749;1573.063965;2561.680908;191.307999;4326.052734
22;1706285172.761988037;1554.782959;2563.356934;192.509003;4310.648926
23;1706285172.786048835;1540.662964;2561.512939;190.363007;4292.539062
24;1706285172.810109793;1547.762939;2560.062012;190.410004;4298.234863
25;1706285172.834170261;1565.395020;2563.112061;192.509003;4321.016113
26;1706285172.858229079;1556.291992;2562.584961;190.410004;4309.287109
27;1706285172.882290427;1535.699951;2562.467041;190.300995;4288.467773
28;1706285172.906351455;1547.567017;2564.943115;190.003006;4302.513184
29;1706285172.930411943;1552.473999;2567.518066;193.705002;4313.697266
30;1706285172.954471011;1535.348999;2559.993896;190.410004;4285.752930
31;1706285172.978532149;1542.531982;2556.947021;187.121994;4286.601074
32;1706285173.002592706;1538.248047;2563.291016;190.363007;4291.902344
33;1706285173.026653584;1552.473999;2562.259033;193.673996;4308.407227
34;1706285173.050714022;1554.943970;2562.467041;190.330994;4307.742188
35;1706285173.074774640;1542.692993;2559.993896;190.427002;4293.113770
36;1706285173.098835969;1537.598999;2564.125977;193.705002;4295.430176
37;1706285173.122896757;1555.001953;2562.529053;191.261002;4308.791992
38;1706285173.146955974;1554.943970;2565.004883;190.417007;4310.365723
39;1706285173.171014692;1552.844971;2559.083984;189.151993;4301.081055
40;1706285173.195074330;1549.477051;2559.211914;190.050995;4298.740234
41;1706285173.219134788;1553.358032;2562.381104;190.348007;4306.086914
