Sample;Timestamp;PS mW;PL mW;MGT mW;Total mW
0;1706284890.011416080;1801.005005;2532.023926;190.410004;4523.438965
1;1706284890.035479758;1545.874023;2536.155029;189.511993;4271.541016
2;1706284890.059541246;1538.583008;2534.583008;188.268997;4261.435059
3;1706284890.083602234;1540.854004;2539.613037;189.511993;4269.979004
4;1706284890.107662841;1547.404053;2537.968994;192.203003;4277.576172
5;1706284890.131721709;1536.089966;2532.041992;190.363007;4258.495117
6;1706284890.155780936;1547.814941;2536.250000;193.722000;4277.787109
7;1706284890.179840234;1543.406006;2536.184082;193.722000;4273.312012
8;1706284890.203899222;1546.552002;2537.071045;189.511993;4273.134766
9;1706284890.227958079;1536.081055;2537.012939;193.643997;4266.738281
10;1706284890.252017157;1536.953979;2537.968994;189.464996;4264.388184
11;1706284890.276076744;1528.942017;2538.108887;191.580994;4258.631836
12;1706284890.300136062;1556.105957;2536.220947;189.511993;4281.838867
13;1706284890.324195310;1527.584961;2535.597900;189.197006;4252.379883
14;1706284890.348254327;1527.250000;2541.434082;192.414001;4261.098145
15;1706284890.372312995;1529.764038;2540.416016;192.824005;4263.003906
16;1706284890.396372362;1555.260010;2533.820068;190.410004;4279.490234
17;1706284890.420431030;1548.327026;2536.093018;188.270004;4272.689941
18;1706284890.444490838;1536.911987;2537.879883;193.641006;4268.433105
19;1706284890.468549755;1546.130005;2533.721924;189.151993;4269.003906
20;1706284890.492609563;1544.534058;2535.531982;191.292007;4271.357910
21;1706284890.516668550;1528.062012;2535.306885;190.393005;4253.761719
22;1706284890.540728018;1536.265991;2534.750977;190.348999;4261.366211
23;1706284890.564786826;1544.939941;2537.014893;193.641006;4275.595703
24;1706284890.588847063;1548.910034;2538.883057;189.511993;4277.305176
25;1706284890.612906391;1545.796021;2538.017090;189.464996;4273.278320
26;1706284890.636966008;1529.067017;2539.657959;192.445007;4261.169922
27;1706284890.661025456;1544.104004;2536.220947;189.511993;4269.836914
28;1706284890.685084374;1550.303955;2533.228027;186.218002;4269.750000
29;1706284890.709143781;1545.295044;2535.597900;188.253006;4269.145996
30;1706284890.733202389;1524.193970;2536.445068;190.410004;4251.048828
31;1706284890.757261026;1535.395996;2537.106934;189.419998;4261.922852
32;1706284890.781320134;1553.857056;2536.272949;189.559006;4279.688965
33;1706284890.805379562;1529.823975;2542.177979;191.595001;4263.596680
34;1706284890.829438779;1528.587036;2540.364014;193.658005;4262.608887
35;1706284890.853497107;1545.796021;2537.968994;190.363007;4274.127930
36;1706284890.877559585;1551.469971;2537.059082;189.434006;4277.962891
37;1706284890.901618972;1540.844971;2532.210938;189.449997;4262.505859
38;1706284890.925689921;1551.542969;2538.620117;192.509003;4282.671875
39;1706284890.949749349;1549.524048;2532.144043;188.315994;4269.983887
40;1706284890.973808866;1548.453979;2537.020996;190.410004;4275.884766
41;1706284890.997867794;1547.619995;2539.833008;189.511993;4276.964844
42;1706284891.021942354;1755.301025;2537.079102;192.807007;4485.187500
43;1706284891.046008013;1767.201050;2535.580078;189.511993;4492.292969
44;1706284891.070072762;1772.266968;2536.220947;189.513000;4498.000977
45;1706284891.094141921;1736.862061;2537.353027;189.518997;4463.734375
46;1706284891.118210951;1757.667969;2533.837891;189.511993;4481.017578
47;1706284891.142280940;1737.897949;2533.802002;189.464996;4461.165039
48;1706284891.166346939;1728.214966;2536.093018;189.449997;4453.757812
49;1706284891.190408668;1634.421997;2536.239014;189.529007;4360.189941
50;1706284891.214471247;1552.538940;2537.168945;190.410004;4280.117676
51;1706284891.238533766;1563.160034;2536.158936;190.348007;4289.666992
52;1706284891.262595915;1572.302002;2535.306885;189.464996;4297.074219
53;1706284891.286659854;1565.296021;2535.391113;189.479004;4290.166016
54;1706284891.310724042;1731.692017;2538.864990;189.529007;4460.085938
55;1706284891.334785641;1754.889038;2541.996094;194.492004;4491.376953
56;1706284891.358847450;1739.526978;2539.168945;189.214005;4467.910156
57;1706284891.382913279;1733.729980;2533.802002;190.707993;4458.240234
58;1706284891.406977798;1740.770020;2533.739990;189.403000;4463.913086
59;1706284891.431043447;1762.176025;2533.137939;189.481995;4484.795898
60;1706284891.455105626;1747.803955;2529.533936;186.216995;4463.554688
61;1706284891.479178276;1789.995972;2533.534912;191.354004;4514.884766
62;1706284891.503243395;1718.357056;2536.173096;189.511993;4444.041992
63;1706284891.527310224;1853.463013;2538.102051;189.511993;4581.077148
64;1706284891.551369763;1721.333008;2534.569092;190.334000;4446.236328
65;1706284891.575429231;1714.249023;2534.631104;188.315994;4437.196289
66;1706284891.599499681;1824.588013;2532.877930;187.115005;4544.581055
67;1706284891.623564860;1746.925049;2654.864014;193.658005;4595.447266
68;1706284891.647627059;1885.265991;2976.284912;188.315994;5049.866699
69;1706284891.671686447;1860.990967;2948.371094;189.167007;4998.529297
70;1706284891.695746976;1873.754028;2957.628906;189.167007;5020.549805
71;1706284891.719807424;1893.654053;2977.980957;189.511993;5061.146973
72;1706284891.743867013;1883.354004;2965.428955;192.220001;5041.002930
73;1706284891.767927372;1873.881958;2934.438965;189.498001;4997.818848
74;1706284891.791987020;1875.402954;2950.166992;189.511993;5015.082031
75;1706284891.816047399;1892.650024;2983.220947;190.410004;5066.280762
76;1706284891.840107187;1879.946045;2969.471924;192.759995;5042.177734
77;1706284891.864167066;1872.191040;2965.760010;189.511993;5027.462891
78;1706284891.888227434;1876.421021;2981.423096;189.511993;5047.355957
79;1706284891.912287163;1866.634033;2984.933105;189.496002;5041.063477
80;1706284891.936347271;1876.967041;2964.384033;193.705002;5035.056152
81;1706284891.960407600;1873.244019;2922.861084;191.039993;4987.145020
82;1706284891.984467559;1877.931030;2962.673096;190.410004;5031.014160
83;1706284892.008526967;1889.265991;2965.263916;191.610992;5046.141113
84;1706284892.032586386;1874.391968;2967.665039;192.824005;5034.880859
85;1706284892.056646266;1873.536011;2972.893066;190.410004;5036.838867
86;1706284892.080706425;1874.501953;2987.312012;192.807007;5054.621094
87;1706284892.104765785;1877.759033;2931.378906;189.403000;4998.541016
88;1706284892.128826034;1873.755981;2972.295898;190.380005;5036.431641
89;1706284892.152885734;1870.833008;2930.478027;192.509003;4993.820312
90;1706284892.176945403;1876.901001;2979.366943;190.945007;5047.212891
91;1706284892.201005472;1882.461060;2973.330078;189.561005;5045.352051
92;1706284892.225065822;1866.785034;2929.600098;192.824005;4989.208984
93;1706284892.249126041;1871.213013;2964.482910;188.315994;5024.011719
94;1706284892.273185731;1876.281982;2916.361084;190.427002;4983.070312
95;1706284892.297246240;1886.098999;2967.887939;187.132004;5041.119141
96;1706284892.321306140;1868.415039;2980.593018;190.363007;5039.371094
97;1706284892.345366139;1877.432007;2960.173096;189.511993;5027.117188
98;1706284892.369426098;1872.363037;2961.462891;189.449997;5023.275879
99;1706284892.393486428;1876.812988;2941.616943;189.511993;5007.941895
100;1706284892.417546837;1870.708008;2967.839111;189.449005;5027.996094
101;1706284892.441606897;1872.699951;2976.258057;192.791000;5041.749023
102;1706284892.465694009;1875.066040;2966.941895;192.509003;5034.517090
103;1706284892.489753168;1885.115967;2984.065918;189.436005;5058.618164
104;1706284892.513812798;1870.244019;2950.764893;190.235992;5011.245117
105;1706284892.537871857;1877.589966;2949.968018;194.570007;5022.127930
106;1706284892.561930586;1873.536011;2944.915039;190.348007;5008.798828
107;1706284892.585988946;1891.911987;2970.398926;189.496002;5051.807129
108;1706284892.610047895;1881.142944;2977.951904;193.705002;5052.799805
109;1706284892.634108214;1872.593018;2966.160889;190.410004;5029.164062
110;1706284892.658169214;1879.094971;2966.082031;192.509003;5037.686035
111;1706284892.682228823;1885.989990;2916.427002;186.220001;4988.636719
112;1706284892.706289063;1875.564941;2953.326904;190.287003;5019.178711
113;1706284892.730350472;1835.212036;2817.855957;184.973999;4838.041992
114;1706284892.754421333;1735.215942;2540.560059;188.315994;4464.091797
115;1706284892.778484293;1546.901978;2541.260986;189.511993;4277.674805
116;1706284892.802545522;1531.456055;2537.975098;192.175003;4261.606445
117;1706284892.826605672;1537.989990;2536.989014;189.511993;4264.491211
118;1706284892.850666451;1542.937012;2546.995117;189.496002;4279.428223
119;1706284892.874727231;1546.051025;2540.783936;191.276993;4278.112305
120;1706284892.898785680;1530.479004;2541.947998;193.923004;4266.350098
121;1706284892.922844269;1552.052002;2538.037109;190.410004;4280.499023
122;1706284892.946904529;1558.797974;2537.975098;189.449997;4286.223145
123;1706284892.970963178;1536.556030;2537.952881;190.427002;4264.936035
124;1706284892.995023427;1538.125000;2540.479004;189.449005;4268.052734
125;1706284893.019082297;1541.537964;2538.655029;190.300995;4270.494141
126;1706284893.043142877;1553.855957;2541.334961;191.610992;4286.801758
127;1706284893.067203828;1548.900024;2540.418945;194.556000;4283.875000
128;1706284893.091263918;1528.597046;2538.698975;190.427002;4257.723145
129;1706284893.115324098;1534.197021;2540.382080;192.807007;4267.385742
130;1706284893.139384409;1549.737061;2539.572021;193.658005;4282.966797
131;1706284893.163444959;1549.816040;2536.324951;188.253006;4274.394043
132;1706284893.187505529;1525.057007;2540.413086;188.300003;4253.770020
133;1706284893.211564220;1546.985962;2536.343018;189.498001;4272.827148
134;1706284893.235623110;1546.708008;2537.086914;189.498001;4273.292969
135;1706284893.259681860;1536.375977;2538.822021;191.259995;4266.458008
136;1706284893.283740640;1548.667969;2538.037109;191.244003;4277.949219
137;1706284893.307799890;1545.796021;2536.343018;190.410004;4272.548828
138;1706284893.331859601;1555.383057;2536.155029;189.511993;4281.049805
139;1706284893.355919091;1533.860962;2538.717041;189.464996;4262.042969
