Network,Float Size (%),Int Size (%),Runtime (%),Energy (%)
DenseNet-53,9.88857938718663,3.3286908077994433,31.1165007680096,27.87318978696078
DenseNet-121,38.99721448467967,11.37883008356546,55.677682231859336,52.9310362607588
DenseNet-169,69.49860724233984,19.498607242339833,77.91900923625217,75.8857070331203
DenseNet-185,83.84401114206129,23.25905292479109,88.43060299565008,87.62120961613043
DenseNet-201,100.0,27.437325905292482,100.0,100.0
