Network,Runtime(s)
subResNet-08,0.6780738830566406
subResNet-11,0.9642925262451172
subResNet-14,1.87373948097229
subResNet-26,3.0192410945892334
subResNet-35,3.5342915058135986
subResNet-38,3.7432873249053955
subResNet-41,3.963670015335083
ResNet-50,4.6221253871917725
