Network,Parameters,Float Size (MB),Int Size (MB)
subResNet-11,2092516,8.1,2.25
subResNet-14,8249828,31.7,8.33
subResNet-26,14197348,54.4,14.1
subResNet-38,20144868,77.2,20.0
ResNet-50,23792612,91.3,23.6
