Network,Float Size (%),Int Size (%),Runtime (%),Energy (%)
ResNet-11,8.87185104052574,2.4644030668127055,25.002472577132806,20.320526177662646
ResNet-14,34.720700985761226,9.123767798466593,30.45364957208223,25.901584552554475
ResNet-26,59.58378970427163,15.443592552026287,57.872726934461426,54.37470349449881
ResNet-38,84.55640744797371,21.90580503833516,79.77785393167328,78.38634625435213
ResNet-50,100.0,25.848849945235493,100.0,100.0
