Network,Parameters,Float Size (MB),Int Size (MB)
subDenseNet-53,1733098,7.1,2.39
subDenseNet-121,7047754,28,8.17
subDenseNet-169,12659530,49.9,14.0
subDenseNet-185,15332426,60.2,16.7
DenseNet-201,18341194,71.8,19.7
