Network,Float Size (%),Int Size (%),Runtime (%),Energy (%)
ResNet-11,8.609271523178808,2.3620309050772628,23.343269473404305,21.09014495358324
ResNet-14,34.105960264900666,8.863134657836644,41.81959217166988,39.93056146016606
ResNet-26,59.27152317880795,15.342163355408388,62.61755438712743,61.807657094637456
ResNet-38,84.43708609271525,21.7439293598234,83.71784559395469,83.86450102812144
ResNet-50,100.0,25.717439293598236,100.0,100.0
