Network,Scratch,T=1,T=1.5,T=2,T=2.5,T=3,T=6
subDenseNet-53,0.478,0.522899985313416,0.569299995899201,0.590900003910065,0.590200006961823,0.589100003242493,0.544399976730347
subDenseNet-121,0.536,0.56879997253418,0.611800014972687,0.633400022983551,0.63400000333786,0.632499992847443,0.593299984931946
subDenseNet-169,0.6214,0.6495,0.7299,0.720099985599518,0.72079998254776,0.736000001430511,0.743600010871887
subDenseNet-185,0.6753,0.6972,0.730499982833862,0.715399980545044,0.751600006198883,0.727199971675873,0.766200015544891
DenseNet-201,0.8311,0.8311,0.8311,0.8311,0.8311,0.8311,0.8311
