Network,Scratch,T=1,T=2,T=4,T=6,T=8,T=10
subResNet-11,0.7421,0.735050022602081,0.744899988174439,0.75890001654625,0.759900003671646,0.756049990653992,0.760450005531311
subResNet-14,0.7523,0.738849997520447,0.7432000041008,0.750200003385544,0.762950003147125,0.760250002145767,0.747249990701675
subResNet-26,0.7538,0.731750011444092,0.742049992084503,0.759550005197525,0.764999985694885,0.765150010585785,0.754400014877319
subResNet-38,0.7676,0.740438395395032,0.742540593045935,0.748650949059393,0.750800013542175,0.780800004005432,0.778000016212463
ResNet-50,0.8423,0.8423,0.8423,0.8423,0.8423,0.8423,0.8423
