,0,1
0,ResNet-08,2666.6204053200004
1,ResNet-11,4129.09130616
2,ResNet-14,8664.476438120002
3,ResNet-23,13512.143020100004
4,ResNet-35,16763.555842280006
5,ResNet-38,17846.78212396
6,ResNet-41,19095.038273860002
7,ResNet-50,22109.082712359996
