,0,1
0,ResNet-08,2635.4496216399994
1,ResNet-11,4102.676701559999
2,ResNet-14,8615.4719921
3,ResNet-23,13341.300764199998
4,ResNet-35,16767.495769140005
5,ResNet-38,17762.902451100003
6,ResNet-41,18922.05544674
7,ResNet-50,22058.259289400004
